CATEGORIE,DATE,QUART,PDQ,X,Y,LONGITUDE,LATITUDE
Vol de véhicule à moteur,2015-02-17,nuit,7.0,289317.1384,5037884.733,-73.698049,45.480716
Vol de véhicule à moteur,2015-02-17,nuit,7.0,289932.074,5038532.123,-73.690203,45.486555
Vol de véhicule à moteur,2015-02-17,nuit,7.0,289932.074,5038532.123,-73.690203,45.486555
Vol de véhicule à moteur,2015-02-17,nuit,7.0,289932.074,5038532.123,-73.690203,45.486555
Introduction,2015-01-06,nuit,44.0,298477.153,5045850.864,-73.580982,45.552542
Introduction,2015-01-14,nuit,22.0,301048.191,5043286.097,-73.548033,45.529482
Vol de véhicule à moteur,2015-01-17,nuit,39.0,295384.906,5051118.0,-73.620688,45.599902
Vol de véhicule à moteur,2015-02-01,soir,7.0,289317.1384,5037884.733,-73.698049,45.480716
Vols qualifiés,2015-02-06,jour,44.0,298158.386,5045330.094,-73.585057,45.547853
Vol dans / sur véhicule à moteur,2015-02-11,nuit,46.0,299849.214,5053826.357,-73.563489,45.624319
Vol dans / sur véhicule à moteur,2015-02-11,nuit,46.0,299849.214,5053826.357,-73.563489,45.624319
Vol de véhicule à moteur,2015-01-01,nuit,5.0,288453.923,5037011.002,-73.709062,45.472834
Vols qualifiés,2015-01-19,nuit,39.0,293708.25,5050279.0,-73.642161,45.592328
Introduction,2015-01-19,nuit,24.0,297204.885,5042021.712,-73.597217,45.518073
Vol dans / sur véhicule à moteur,2015-01-26,jour,39.0,293979.75,5049919.5,-73.638673,45.589097
Vol dans / sur véhicule à moteur,2015-01-29,soir,24.0,297204.885,5042021.712,-73.597217,45.518073
Vol de véhicule à moteur,2015-01-29,soir,7.0,289317.1384,5037884.733,-73.698049,45.480716
Introduction,2015-02-09,jour,8.0,288427.75,5036935.0,-73.709394,45.47215
Vol de véhicule à moteur,2015-02-09,jour,7.0,289932.074,5038532.123,-73.690203,45.486555
Introduction,2015-02-09,jour,22.0,300910.192,5043374.598,-73.5498,45.530277
Vol de véhicule à moteur,2015-02-10,soir,7.0,289932.074,5038532.123,-73.690203,45.486555
Vol de véhicule à moteur,2015-02-17,jour,8.0,287386.553,5035839.13,-73.722671,45.462264
Vol de véhicule à moteur,2015-02-20,nuit,7.0,289317.1384,5037884.733,-73.698049,45.480716
Introduction,2015-02-24,soir,7.0,291511.146,5040088.902,-73.670044,45.500596
Introduction,2015-03-09,jour,44.0,298885.677,5046531.401,-73.575758,45.558669
Vol de véhicule à moteur,2015-03-16,nuit,7.0,289317.1384,5037884.733,-73.698049,45.480716
Introduction,2015-03-21,nuit,22.0,300910.192,5043374.598,-73.5498,45.530277
Vol de véhicule à moteur,2015-02-18,soir,7.0,289932.074,5038532.123,-73.690203,45.486555
Introduction,2015-02-18,soir,44.0,298148.686,5045314.093,-73.585181,45.547709
Vol de véhicule à moteur,2015-02-19,nuit,7.0,289932.074,5038532.123,-73.690203,45.486555
Introduction,2015-02-19,nuit,45.0,296445.453,5054614.91,-73.607153,45.631382
Vol dans / sur véhicule à moteur,2015-02-25,jour,15.0,299150.028,5037532.352,-73.572268,45.477694
Introduction,2015-03-03,soir,44.0,298959.293,5046630.359,-73.574816,45.55956
Introduction,2015-03-04,nuit,7.0,289426.921,5038045.241,-73.69665,45.482163
Vol de véhicule à moteur,2015-03-14,jour,5.0,286342.5734,5034951.643,-73.735988,45.454251
Méfait,2015-03-19,nuit,44.0,298477.153,5045850.864,-73.580982,45.552542
Méfait,2015-03-21,soir,7.0,289317.1384,5037884.733,-73.698049,45.480716
Vol de véhicule à moteur,2015-03-24,soir,7.0,292272.211,5041392.55,-73.660339,45.51234
Introduction,2015-03-26,jour,26.0,293699.066,5038695.036,-73.642016,45.488091
Introduction,2015-02-22,jour,35.0,297878.664,5044876.897,-73.588633,45.543772
Vol de véhicule à moteur,2015-02-22,soir,7.0,289932.074,5038532.123,-73.690203,45.486555
Introduction,2015-02-24,jour,42.0,296794.781,5048653.0,-73.602575,45.577739
Vol de véhicule à moteur,2015-03-05,soir,7.0,289932.074,5038532.123,-73.690203,45.486555
Vol de véhicule à moteur,2015-03-05,soir,7.0,289317.1384,5037884.733,-73.698049,45.480716
Méfait,2015-03-19,soir,8.0,287386.553,5035839.13,-73.722671,45.462264
Vol dans / sur véhicule à moteur,2015-04-25,jour,7.0,289566.881,5038191.736,-73.694864,45.483484
Introduction,2015-03-05,jour,44.0,299390.818,5047337.518,-73.569296,45.565927
Méfait,2015-03-07,jour,26.0,294636.019,5038094.349,-73.630017,45.4827
Vol dans / sur véhicule à moteur,2015-03-07,soir,46.0,300311.48,5053539.239,-73.557559,45.621738
Vol dans / sur véhicule à moteur,2015-03-20,soir,7.0,289317.1384,5037884.733,-73.698049,45.480716
Vol de véhicule à moteur,2015-03-20,soir,7.0,289932.074,5038532.123,-73.690203,45.486555
Vol de véhicule à moteur,2015-03-20,soir,7.0,289932.074,5038532.123,-73.690203,45.486555
Vol dans / sur véhicule à moteur,2015-03-20,soir,7.0,289566.881,5038191.736,-73.694864,45.483484
Introduction,2015-03-30,jour,15.0,299495.78,5037831.046,-73.567849,45.480385
Vol de véhicule à moteur,2015-03-30,soir,7.0,289317.1384,5037884.733,-73.698049,45.480716
Introduction,2018-01-03,soir,35.0,297208.788,5043620.022,-73.597192,45.532455
Méfait,2018-02-26,jour,35.0,297208.788,5043620.022,-73.597192,45.532455
Introduction,2017-11-13,jour,49.0,303799.37,5056344.706,-73.512837,45.646996
Méfait,2018-02-24,jour,27.0,293058.726,5046770.042,-73.650402,45.560743
Introduction,2018-08-20,nuit,27.0,293058.726,5046770.042,-73.650402,45.560743
Introduction,2018-07-05,soir,13.0,293717.947,5032865.008,-73.641643,45.43563
Vol dans / sur véhicule à moteur,2018-08-27,nuit,35.0,296701.901,5043950.581,-73.603687,45.535424
Introduction,2018-06-13,jour,35.0,296701.901,5043950.581,-73.603687,45.535424
Vol de véhicule à moteur,2018-09-28,soir,35.0,296701.901,5043950.581,-73.603687,45.535424
Vols qualifiés,2017-08-01,jour,49.0,303984.418,5057110.871,-73.510465,45.653891
Vol dans / sur véhicule à moteur,2017-08-03,jour,21.0,299665.904,5042320.084,-73.565719,45.52078
Vols qualifiés,2017-08-03,soir,44.0,300188.39,5044481.619,-73.559052,45.540234
Vol dans / sur véhicule à moteur,2017-08-03,soir,23.0,300278.987,5044726.107,-73.557894,45.542435
Méfait,2017-08-03,soir,7.0,290333.0,5041785.0,-73.68517,45.515834
Introduction,2017-08-03,soir,22.0,299948.989,5043751.099,-73.56211,45.533659
Vol dans / sur véhicule à moteur,2017-08-20,soir,44.0,300541.499,5046798.936,-73.55455,45.561089
Introduction,2017-08-21,soir,44.0,300625.834,5047451.759,-73.553475,45.566963
Vol de véhicule à moteur,2017-08-22,nuit,48.0,301755.542,5049999.053,-73.539019,45.589891
Vol dans / sur véhicule à moteur,2017-08-21,soir,30.0,294439.007,5047841.927,-73.632743,45.57041
